,area_type,availability,total_sqft,price
1645,Super built-up  Area,Ready To Move,1080,43.2
1646,Plot  Area,Ready To Move,2100,155.0
1647,Super built-up  Area,Ready To Move,1300,65.0
1648,Built-up  Area,Ready To Move,920,33.0
1649,Plot  Area,Ready To Move,817,120.0
1650,Built-up  Area,Ready To Move,1310,50.0
1651,Super built-up  Area,Ready To Move,1650,75.0
1652,Super built-up  Area,Ready To Move,1515,93.93
1653,Super built-up  Area,18-Dec,1157,53.8
1654,Super built-up  Area,Ready To Move,2400,85.0
1655,Super built-up  Area,Ready To Move,3000,160.0
1656,Super built-up  Area,Ready To Move,2200,162.0
1657,Built-up  Area,19-Dec,1243,58.0
1658,Super built-up  Area,Ready To Move,1530,74.39
1659,Super built-up  Area,Ready To Move,2070,162.0
1660,Built-up  Area,Ready To Move,1815,82.0
1661,Super built-up  Area,Ready To Move,3900,300.0
1662,Super built-up  Area,18-Aug,1000,28.88
1663,Super built-up  Area,18-May,982,24.55
1664,Super built-up  Area,Ready To Move,1232,89.0
1665,Super built-up  Area,19-Dec,1282,178.0
1666,Super built-up  Area,Ready To Move,654,38.4
1667,Built-up  Area,Ready To Move,1181,55.0
1668,Super built-up  Area,Ready To Move,1075,45.0
1669,Plot  Area,Ready To Move,1200,245.0
1670,Super built-up  Area,Ready To Move,1616,75.0
1671,Built-up  Area,Ready To Move,1800,44.5
1672,Plot  Area,Ready To Move,1200,135.0
1673,Super built-up  Area,20-Dec,1306,54.65
1674,Super built-up  Area,Ready To Move,1626,89.0
1675,Built-up  Area,Ready To Move,2700,214.0
1676,Super built-up  Area,Ready To Move,1585,88.0
1677,Super built-up  Area,Ready To Move,1370,56.17
1678,Plot  Area,Ready To Move,3250,900.0
1679,Super built-up  Area,Ready To Move,1495,90.0
1680,Super built-up  Area,Ready To Move,2000,210.0
1681,Plot  Area,Ready To Move,2400,300.0
1682,Plot  Area,Ready To Move,1375,57.0
1683,Super built-up  Area,Ready To Move,3630 - 3800,224.5
1684,Built-up  Area,Ready To Move,1400,48.0
1685,Super built-up  Area,Ready To Move,1100,135.0
1686,Super built-up  Area,21-Dec,660 - 670,28.585
1687,Plot  Area,Ready To Move,1200,215.0
1688,Super built-up  Area,Ready To Move,1150,46.0
1689,Super built-up  Area,Ready To Move,1080,54.0
1690,Super built-up  Area,Ready To Move,1645,100.0
1691,Super built-up  Area,Ready To Move,1760,176.0
1692,Built-up  Area,Ready To Move,595,42.0
1693,Plot  Area,Ready To Move,1200,125.0
1694,Super built-up  Area,18-Dec,4000 - 5249,314.5
1695,Built-up  Area,Ready To Move,1410,67.0
1696,Built-up  Area,18-Dec,1090,31.48
1697,Plot  Area,Ready To Move,540,30.0
1698,Super built-up  Area,Ready To Move,1300,60.0
1699,Built-up  Area,Ready To Move,1890,85.0
1700,Super built-up  Area,Ready To Move,1254,53.0
1701,Built-up  Area,Ready To Move,2800,125.0
1702,Built-up  Area,Ready To Move,1275,120.0
1703,Super built-up  Area,Ready To Move,1245,68.48
1704,Built-up  Area,Ready To Move,1170,86.0
1705,Super built-up  Area,18-Apr,1193,86.0
1706,Super built-up  Area,18-Dec,850,25.4
1707,Super built-up  Area,Ready To Move,1678,70.0
1708,Built-up  Area,Ready To Move,1600,75.0
1709,Super built-up  Area,Ready To Move,1750,84.0
1710,Super built-up  Area,18-Nov,1125,62.0
1711,Plot  Area,Ready To Move,2200,235.0
1712,Plot  Area,Ready To Move,1500Sq. Meter,95.0
1713,Built-up  Area,Ready To Move,2800,200.0
1714,Plot  Area,Ready To Move,1200,120.0
1715,Built-up  Area,Ready To Move,1000,50.0
1716,Built-up  Area,Ready To Move,2780,480.0
1717,Built-up  Area,18-Dec,1320,38.13
1718,Super built-up  Area,Ready To Move,8000,230.0
1719,Super built-up  Area,Ready To Move,2422,160.0
1720,Built-up  Area,Ready To Move,1100,50.0
1721,Built-up  Area,Ready To Move,882,30.0
1722,Super built-up  Area,Ready To Move,845,37.0
1723,Super built-up  Area,Ready To Move,883,39.0
1724,Super built-up  Area,Ready To Move,620 - 933,48.145
1725,Super built-up  Area,Ready To Move,1595,88.0
1726,Built-up  Area,Ready To Move,1280,85.0
1727,Built-up  Area,Ready To Move,1700,550.0
1728,Super built-up  Area,Ready To Move,920,35.0
1729,Super built-up  Area,Ready To Move,1300,57.0
1730,Super built-up  Area,Ready To Move,1450,230.0
1731,Super built-up  Area,Ready To Move,1757,132.0
1732,Super built-up  Area,Ready To Move,600,16.5
1733,Built-up  Area,Ready To Move,2400,142.0
1734,Super built-up  Area,Ready To Move,1240,44.0
1735,Plot  Area,Ready To Move,750,90.0
1736,Super built-up  Area,18-Feb,1330,93.36
1737,Super built-up  Area,Ready To Move,1062,42.47
1738,Built-up  Area,Ready To Move,1078,45.0
1739,Super built-up  Area,Ready To Move,1460,72.0
1740,Plot  Area,18-Dec,1200,68.5
1741,Super built-up  Area,Ready To Move,1200,48.0
1742,Super built-up  Area,Ready To Move,912,39.0
1743,Super built-up  Area,19-Mar,142.61Sq. Meter,115.0
1744,Plot  Area,Ready To Move,2400,625.0
1745,Plot  Area,Ready To Move,2028,162.0
1746,Super built-up  Area,19-Apr,980,45.47
1747,Built-up  Area,Ready To Move,1000,40.0
1748,Super built-up  Area,Ready To Move,1050,62.0
1749,Built-up  Area,18-Dec,2611,239.0
1750,Super built-up  Area,Ready To Move,1875,150.0
1751,Super built-up  Area,Ready To Move,1065,42.6
1752,Built-up  Area,Ready To Move,1800,180.0
1753,Super built-up  Area,Ready To Move,1163,98.86
1754,Super built-up  Area,Ready To Move,1098,72.0
1755,Built-up  Area,Ready To Move,1725,100.0
1756,Plot  Area,Ready To Move,4000,330.0
1757,Super built-up  Area,Ready To Move,1128,75.0
1758,Plot  Area,Ready To Move,1320,200.0
1759,Super built-up  Area,Ready To Move,1705,74.16
1760,Super built-up  Area,Ready To Move,1418,95.0
1761,Built-up  Area,Ready To Move,1500,160.0
1762,Built-up  Area,Ready To Move,1100,50.0
1763,Super built-up  Area,Ready To Move,1464,56.0
1764,Super built-up  Area,18-May,812,55.0
1765,Super built-up  Area,19-Dec,2695 - 2940,204.0
1766,Super built-up  Area,Ready To Move,1280,40.0
1767,Super built-up  Area,Ready To Move,1420,136.0
1768,Plot  Area,Ready To Move,1200,170.0
1769,Plot  Area,Ready To Move,727,66.0
1770,Plot  Area,Ready To Move,1200,150.0
1771,Super built-up  Area,18-May,2774,207.0
1772,Super built-up  Area,Ready To Move,2000,85.0
1773,Super built-up  Area,Ready To Move,1722,95.0
1774,Super built-up  Area,Ready To Move,2800,330.0
1775,Plot  Area,Immediate Possession,2000 - 5634,124.0
1776,Carpet  Area,Ready To Move,1650,175.0
1777,Built-up  Area,Ready To Move,840,27.0
1778,Built-up  Area,Ready To Move,914,47.0
1779,Super built-up  Area,19-Mar,1482,83.73
1780,Super built-up  Area,17-Dec,1724,127.0
1781,Super built-up  Area,Ready To Move,1670,91.86
1782,Super built-up  Area,Ready To Move,1184,53.0
1783,Super built-up  Area,Ready To Move,1200,55.0
1784,Plot  Area,Ready To Move,1200,65.0
1785,Super built-up  Area,Ready To Move,927,55.0
1786,Super built-up  Area,Ready To Move,1242,39.7
1787,Built-up  Area,18-Aug,1220,35.23
1788,Built-up  Area,Ready To Move,1360,75.0
1789,Plot  Area,Ready To Move,2800,240.0
1790,Super built-up  Area,Ready To Move,1180,72.0
1791,Super built-up  Area,Ready To Move,1697,108.0
1792,Super built-up  Area,Ready To Move,550,26.0
1793,Super built-up  Area,Ready To Move,1225,57.0
1794,Super built-up  Area,Ready To Move,1690,55.0
1795,Plot  Area,18-Apr,1660,475.0
1796,Super built-up  Area,Ready To Move,1488,57.0
1797,Built-up  Area,Ready To Move,1250,80.0
1798,Super built-up  Area,Ready To Move,1050,44.0
1799,Super built-up  Area,Ready To Move,1027,44.0
1800,Super built-up  Area,21-May,1699,81.94
1801,Built-up  Area,Ready To Move,1205,58.0
1802,Plot  Area,Ready To Move,712,67.5
1803,Super built-up  Area,18-Feb,950,39.0
1804,Plot  Area,Ready To Move,1200,70.0
1805,Super built-up  Area,Ready To Move,1476,120.0
1806,Built-up  Area,Ready To Move,1070,55.0
1807,Super built-up  Area,Ready To Move,2160,172.0
1808,Super built-up  Area,Ready To Move,1296,75.0
1809,Built-up  Area,Ready To Move,1800,128.0
1810,Super built-up  Area,Ready To Move,1570,64.5
1811,Super built-up  Area,Ready To Move,1300,110.0
1812,Built-up  Area,Ready To Move,1550,65.0
1813,Super built-up  Area,Ready To Move,770,40.0
1814,Built-up  Area,Ready To Move,1870,110.0
1815,Plot  Area,Ready To Move,1650,160.0
1816,Super built-up  Area,Ready To Move,1429,86.0
1817,Super built-up  Area,17-Nov,1167,39.98
1818,Super built-up  Area,18-May,1035,41.73
1819,Super built-up  Area,Ready To Move,1188,38.0
1820,Plot  Area,Ready To Move,1200,285.0
1821,Plot  Area,Ready To Move,1574Sq. Yards,76.0
1822,Super built-up  Area,Ready To Move,884,36.0
1823,Super built-up  Area,Ready To Move,1194,46.0
1824,Super built-up  Area,19-Dec,1026,60.87
1825,Plot  Area,Ready To Move,1400,200.0
1826,Super built-up  Area,Ready To Move,1115,50.0
1827,Plot  Area,Ready To Move,1200,125.0
1828,Super built-up  Area,18-Dec,2690,191.0
1829,Super built-up  Area,Ready To Move,975,58.0
1830,Plot  Area,Ready To Move,675,72.5
1831,Super built-up  Area,Ready To Move,1900,170.0
1832,Plot  Area,17-Dec,600,100.0
1833,Super built-up  Area,Ready To Move,1101,65.5
1834,Super built-up  Area,Ready To Move,1700,135.0
1835,Super built-up  Area,Ready To Move,3606,312.0
1836,Super built-up  Area,Ready To Move,1258,115.0
1837,Carpet  Area,Ready To Move,1560,92.0
1838,Super built-up  Area,Ready To Move,3630,195.0
1839,Built-up  Area,Ready To Move,2000,250.0
1840,Super built-up  Area,19-Jun,2790,198.0
1841,Super built-up  Area,20-Jan,1494,94.55
1842,Super built-up  Area,18-Oct,1482,87.0
1843,Super built-up  Area,Ready To Move,800,50.0
1844,Super built-up  Area,Ready To Move,1185,47.39
1845,Super built-up  Area,Ready To Move,1100,71.5
1846,Built-up  Area,Ready To Move,1300,120.0
1847,Super built-up  Area,Ready To Move,1225,150.0
1848,Super built-up  Area,Ready To Move,1758,65.0
1849,Super built-up  Area,Ready To Move,1145,55.0
1850,Built-up  Area,Ready To Move,1180,50.0
1851,Super built-up  Area,Ready To Move,1260,58.0
1852,Super built-up  Area,19-Jun,3450 - 3472,173.0
1853,Built-up  Area,Ready To Move,1190,55.0
1854,Super built-up  Area,Ready To Move,1691,119.0
1855,Super built-up  Area,18-Dec,3675,367.0
1856,Built-up  Area,Ready To Move,1305,95.45
1857,Super built-up  Area,18-Apr,2337,292.0
1858,Plot  Area,Ready To Move,1200,150.0
1859,Super built-up  Area,20-Dec,1206,217.0
1860,Plot  Area,Ready To Move,1350,130.0
1861,Super built-up  Area,Ready To Move,1140,50.66
1862,Super built-up  Area,Ready To Move,1250,65.0
1863,Plot  Area,Ready To Move,600,60.0
1864,Super built-up  Area,18-Aug,1225,48.0
1865,Built-up  Area,Ready To Move,800,28.0
1866,Super built-up  Area,Ready To Move,1020,58.0
1867,Built-up  Area,Ready To Move,2100,50.0
1868,Plot  Area,Ready To Move,1350,80.0
1869,Super built-up  Area,Ready To Move,925,40.0
1870,Built-up  Area,Ready To Move,1800,220.0
1871,Built-up  Area,Ready To Move,2000,100.0
1872,Built-up  Area,Ready To Move,1510,75.0
1873,Plot  Area,Ready To Move,5800,1200.0
1874,Super built-up  Area,Ready To Move,1614,110.0
1875,Plot  Area,Ready To Move,682,130.0
1876,Plot  Area,Ready To Move,1200,95.0
1877,Plot  Area,Ready To Move,900,55.0
1878,Built-up  Area,Ready To Move,1632,145.0
1879,Super built-up  Area,Ready To Move,1041,65.5
1880,Built-up  Area,Ready To Move,5080,450.0
1881,Super built-up  Area,18-Jul,3012,250.0
1882,Super built-up  Area,Ready To Move,1530,74.5
1883,Super built-up  Area,Ready To Move,1450,135.0
1884,Super built-up  Area,Ready To Move,1200,75.0
1885,Plot  Area,Ready To Move,1200,130.0
1886,Super built-up  Area,Ready To Move,1508,110.0
1887,Built-up  Area,Ready To Move,600,106.0
1888,Super built-up  Area,Ready To Move,1188,73.0
1889,Super built-up  Area,18-May,2690,199.0
1890,Super built-up  Area,Ready To Move,1174,76.0
1891,Super built-up  Area,19-Dec,1350,58.99
1892,Super built-up  Area,Ready To Move,1870,185.0
1893,Super built-up  Area,18-Jun,1072,25.0
1894,Plot  Area,Ready To Move,52272,140.0
1895,Super built-up  Area,18-Nov,726,31.0
1896,Super built-up  Area,Ready To Move,1345,106.0
1897,Super built-up  Area,Ready To Move,1200,45.0
1898,Built-up  Area,Ready To Move,980,37.0
1899,Super built-up  Area,Ready To Move,1050,77.0
1900,Super built-up  Area,Ready To Move,993,39.71
1901,Super built-up  Area,Ready To Move,1300,52.0
1902,Super built-up  Area,Ready To Move,1743,85.0
1903,Plot  Area,Ready To Move,1204,125.0
1904,Plot  Area,Ready To Move,1200,67.0
1905,Super built-up  Area,Ready To Move,1480,90.0
1906,Super built-up  Area,Ready To Move,950,32.5
1907,Built-up  Area,Ready To Move,640,55.0
1908,Super built-up  Area,18-Jul,972,44.0
1909,Super built-up  Area,Ready To Move,1840,98.0
1910,Super built-up  Area,Ready To Move,1128,64.0
1911,Plot  Area,Ready To Move,680,42.0
1912,Plot  Area,Ready To Move,2400,95.0
1913,Built-up  Area,Ready To Move,1045,42.0
1914,Built-up  Area,Ready To Move,955,53.55
1915,Super built-up  Area,Ready To Move,1360,54.39
1916,Super built-up  Area,Ready To Move,1150,63.0
1917,Built-up  Area,19-Mar,3450,294.0
1918,Super built-up  Area,18-Oct,1115,56.87
1919,Super built-up  Area,Ready To Move,920,46.0
1920,Super built-up  Area,18-Jun,1030,41.0
1921,Super built-up  Area,Ready To Move,1564,101.0
1922,Super built-up  Area,Ready To Move,1045,45.0
1923,Plot  Area,Ready To Move,1200,83.0
1924,Built-up  Area,Ready To Move,1277,55.0
1925,Super built-up  Area,Ready To Move,2479.13,215.0
1926,Super built-up  Area,Ready To Move,1846,140.0
1927,Built-up  Area,Ready To Move,1100,106.0
1928,Super built-up  Area,Ready To Move,1690,75.0
1929,Plot  Area,17-Jul,1200,70.0
1930,Built-up  Area,Ready To Move,3042,131.0
1931,Super built-up  Area,Ready To Move,1640,223.0
1932,Built-up  Area,19-Mar,1068,40.05
1933,Super built-up  Area,Ready To Move,1135,58.0
1934,Super built-up  Area,Ready To Move,1925,120.0
1935,Super built-up  Area,Ready To Move,1615,60.0
1936,Super built-up  Area,Ready To Move,650,26.0
1937,Plot  Area,Ready To Move,1200,120.0
1938,Super built-up  Area,Ready To Move,1150,42.0
1939,Plot  Area,Ready To Move,930,135.0
1940,Super built-up  Area,18-Mar,1410,45.12
1941,Built-up  Area,Ready To Move,600,100.0
1942,Super built-up  Area,18-Apr,2000,207.0
1943,Super built-up  Area,Ready To Move,1354,90.0
1944,Plot  Area,Ready To Move,1050,110.0
1945,Built-up  Area,Ready To Move,600,28.0
1946,Plot  Area,Ready To Move,1320,110.0
1947,Super built-up  Area,18-May,1600,88.0
1948,Built-up  Area,Ready To Move,3500,225.0
1949,Super built-up  Area,Ready To Move,1000,36.0
1950,Super built-up  Area,Ready To Move,1130,38.0
1951,Super built-up  Area,Ready To Move,1238,67.0
1952,Super built-up  Area,Ready To Move,2204,305.0
1953,Plot  Area,Ready To Move,1200,110.0
1954,Super built-up  Area,18-Apr,1364,46.38
1955,Built-up  Area,Ready To Move,900,45.0
1956,Super built-up  Area,Ready To Move,1745,104.0
1957,Super built-up  Area,Ready To Move,1200,53.33
1958,Super built-up  Area,Ready To Move,1020,42.83
1959,Super built-up  Area,18-Dec,1650,118.0
1960,Super built-up  Area,Ready To Move,1550,70.0
1961,Super built-up  Area,Ready To Move,1440,60.0
1962,Super built-up  Area,Ready To Move,1329,45.95
1963,Super built-up  Area,Ready To Move,916,42.0
1964,Super built-up  Area,Ready To Move,688,50.0
1965,Super built-up  Area,Ready To Move,1358,50.0
1966,Super built-up  Area,19-Jul,1331,107.0
1967,Super built-up  Area,Ready To Move,686,62.5
1968,Super built-up  Area,Ready To Move,1050,50.0
1969,Super built-up  Area,Ready To Move,2106,126.0
1970,Super built-up  Area,18-Jul,1718,90.2
1971,Super built-up  Area,Ready To Move,1530,57.0
1972,Super built-up  Area,Ready To Move,1206,56.0
1973,Built-up  Area,Ready To Move,1075,52.0
1974,Plot  Area,18-Dec,1200,95.0
1975,Super built-up  Area,18-Dec,1936,54.21
1976,Super built-up  Area,Ready To Move,2172.65,120.0
1977,Super built-up  Area,Ready To Move,1100,75.0
1978,Plot  Area,Ready To Move,1260,185.0
1979,Plot  Area,Ready To Move,990,120.0
1980,Plot  Area,Ready To Move,800,80.0
1981,Super built-up  Area,Ready To Move,1117,29.99
1982,Built-up  Area,Ready To Move,1685,110.0
1983,Super built-up  Area,Ready To Move,740,37.0
1984,Plot  Area,Ready To Move,1080,250.0
1985,Plot  Area,Ready To Move,1500,93.0
1986,Super built-up  Area,Ready To Move,1800,115.0
1987,Super built-up  Area,Ready To Move,1700,130.0
1988,Built-up  Area,Ready To Move,850,37.93
1989,Super built-up  Area,Ready To Move,1891,139.0
1990,Built-up  Area,Ready To Move,1400,80.0
1991,Super built-up  Area,Ready To Move,1172,82.0
1992,Super built-up  Area,18-May,1400,40.43
1993,Built-up  Area,Ready To Move,896,43.75
1994,Super built-up  Area,20-Jun,1180,65.0
1995,Plot  Area,Ready To Move,2460,350.0
1996,Built-up  Area,Ready To Move,850,33.0
1997,Super built-up  Area,19-Oct,530,18.0
1998,Super built-up  Area,18-Jul,1550,110.0
1999,Super built-up  Area,19-Dec,1699,97.0
2000,Super built-up  Area,17-Oct,2025,109.0
2001,Super built-up  Area,18-Jun,500,14.0
2002,Built-up  Area,Ready To Move,500,20.0
2003,Built-up  Area,Ready To Move,1146,38.5
2004,Super built-up  Area,Ready To Move,2475,332.0
2005,Super built-up  Area,Ready To Move,1455,145.0
2006,Plot  Area,Ready To Move,800,50.0
2007,Super built-up  Area,Ready To Move,765,30.0
2008,Super built-up  Area,Ready To Move,1521,94.99
2009,Super built-up  Area,Ready To Move,1600,55.0
2010,Super built-up  Area,Ready To Move,3155,370.0
2011,Super built-up  Area,Ready To Move,2900,240.0
2012,Super built-up  Area,Ready To Move,1765,105.0
2013,Super built-up  Area,Ready To Move,1980,88.0
2014,Built-up  Area,Ready To Move,1900,135.0
2015,Super built-up  Area,Ready To Move,1265,70.0
2016,Super built-up  Area,Ready To Move,1034,40.0
2017,Built-up  Area,Ready To Move,1012,59.0
2018,Super built-up  Area,Ready To Move,1070,54.0
2019,Built-up  Area,Ready To Move,3555,230.0
2020,Super built-up  Area,Ready To Move,1270,70.0
2021,Plot  Area,Ready To Move,585,70.0
2022,Super built-up  Area,Ready To Move,2045,154.0
2023,Super built-up  Area,Ready To Move,1490,98.0
2024,Built-up  Area,Ready To Move,6150,830.0
2025,Super built-up  Area,Ready To Move,883,40.0
2026,Super built-up  Area,Ready To Move,671,36.85
2027,Super built-up  Area,Ready To Move,1156,32.0
2028,Super built-up  Area,Ready To Move,2017,125.0
2029,Super built-up  Area,Ready To Move,3122,235.0
2030,Super built-up  Area,18-Jul,1635,62.0
2031,Built-up  Area,Ready To Move,4400,120.0
2032,Super built-up  Area,19-Jul,1296,89.0
2033,Plot  Area,Ready To Move,2400,280.0
2034,Super built-up  Area,Ready To Move,1139,62.0
2035,Super built-up  Area,18-Aug,1230,47.0
2036,Super built-up  Area,Ready To Move,581.91,25.0
2037,Super built-up  Area,19-Dec,1245,86.28
2038,Plot  Area,Ready To Move,1158,85.0
2039,Built-up  Area,Ready To Move,3951,220.0
2040,Super built-up  Area,Ready To Move,550,15.0
2041,Super built-up  Area,Ready To Move,360,26.0
2042,Super built-up  Area,Ready To Move,1350,55.0
2043,Built-up  Area,Ready To Move,1670,120.0
2044,Super built-up  Area,Ready To Move,1600,65.0
2045,Super built-up  Area,Ready To Move,1307,51.6
2046,Built-up  Area,Ready To Move,1050,57.0
2047,Super built-up  Area,Ready To Move,1703,101.0
2048,Super built-up  Area,Ready To Move,1210,58.0
2049,Built-up  Area,18-Dec,1025,29.6
2050,Super built-up  Area,Ready To Move,1140,43.0
2051,Super built-up  Area,Ready To Move,1343,56.41
2052,Super built-up  Area,Ready To Move,1560,85.0
2053,Super built-up  Area,17-Aug,925,51.0
2054,Super built-up  Area,Ready To Move,1420,75.0
2055,Built-up  Area,Ready To Move,1415,110.0
2056,Super built-up  Area,Ready To Move,1210,60.0
2057,Super built-up  Area,Ready To Move,1852,160.0
2058,Super built-up  Area,Ready To Move,1250,50.0
2059,Super built-up  Area,21-Sep,1100,65.0
2060,Super built-up  Area,Ready To Move,1150,40.25
2061,Super built-up  Area,20-Dec,1100,53.35
2062,Plot  Area,Ready To Move,1350,100.0
2063,Super built-up  Area,Ready To Move,1546,99.0
2064,Super built-up  Area,Ready To Move,1424,90.0
2065,Built-up  Area,Ready To Move,1398,68.0
2066,Super built-up  Area,Ready To Move,1650,200.0
2067,Plot  Area,Ready To Move,1200,120.0
2068,Super built-up  Area,Ready To Move,1476,105.0
2069,Built-up  Area,Ready To Move,500,70.0
2070,Super built-up  Area,18-Aug,1322,58.82
2071,Plot  Area,Ready To Move,432,40.0
2072,Built-up  Area,Ready To Move,1100,55.0
2073,Super built-up  Area,Ready To Move,4750,600.0
2074,Built-up  Area,Ready To Move,1285,68.0
2075,Built-up  Area,Ready To Move,1150,80.0
2076,Super built-up  Area,Ready To Move,1430,56.0
2077,Super built-up  Area,Ready To Move,1350,62.0
2078,Plot  Area,Ready To Move,1350,195.0
2079,Built-up  Area,Ready To Move,1185,65.0
2080,Super built-up  Area,Ready To Move,1760,67.0
2081,Plot  Area,Ready To Move,2400,350.0
2082,Super built-up  Area,21-Dec,900,41.0
2083,Super built-up  Area,19-Jul,1297,105.0
2084,Super built-up  Area,Ready To Move,1840,155.0
2085,Built-up  Area,Ready To Move,950,50.79
2086,Plot  Area,Ready To Move,1200,70.0
2087,Carpet  Area,Ready To Move,950,52.0
2088,Super built-up  Area,Ready To Move,1250 - 1305,95.815
2089,Super built-up  Area,18-Jan,1571,89.0
2090,Super built-up  Area,Ready To Move,1031,55.0
2091,Super built-up  Area,19-Dec,1485,90.0
2092,Super built-up  Area,18-Dec,1109,60.0
2093,Super built-up  Area,Ready To Move,2200,180.0
2094,Super built-up  Area,18-Apr,950,50.0
2095,Plot  Area,Ready To Move,1200,150.0
2096,Super built-up  Area,18-Jul,1161,55.15
2097,Super built-up  Area,Ready To Move,2350,300.0
2098,Super built-up  Area,18-Apr,1003,40.6
2099,Plot  Area,Ready To Move,1350,185.0
2100,Super built-up  Area,18-Jun,1080,37.0
2101,Super built-up  Area,Ready To Move,1255,73.0
2102,Super built-up  Area,Ready To Move,1250,60.0
2103,Plot  Area,Ready To Move,1700,152.0
2104,Plot  Area,Ready To Move,1200,66.0
2105,Built-up  Area,Ready To Move,824,60.0
2106,Super built-up  Area,Ready To Move,1875,167.0
2107,Built-up  Area,18-Aug,1320,38.12
2108,Plot  Area,Ready To Move,9600,550.0
2109,Super built-up  Area,Ready To Move,1330,47.0
2110,Super built-up  Area,Ready To Move,1220,56.0
2111,Super built-up  Area,18-Dec,1111,50.0
2112,Super built-up  Area,Ready To Move,1197,47.88
2113,Super built-up  Area,Ready To Move,2519,185.0
2114,Super built-up  Area,18-Aug,1340,100.0
2115,Plot  Area,Ready To Move,1450,132.0
2116,Super built-up  Area,22-Jun,1837,145.0
2117,Plot  Area,Ready To Move,1200,245.0
2118,Super built-up  Area,Ready To Move,1238,55.0
2119,Super built-up  Area,Ready To Move,1405,59.01
2120,Super built-up  Area,Ready To Move,1690,80.0
2121,Built-up  Area,Ready To Move,1620,110.0
2122,Super built-up  Area,Ready To Move,1673,115.0
2123,Plot  Area,Ready To Move,1090,58.0
2124,Super built-up  Area,Ready To Move,1112,40.0
2125,Super built-up  Area,Ready To Move,1385,66.65
2126,Super built-up  Area,Ready To Move,545,27.0
2127,Super built-up  Area,Ready To Move,985,58.0
2128,Super built-up  Area,20-Dec,670 - 980,36.29
2129,Super built-up  Area,Ready To Move,1080,37.8
2130,Super built-up  Area,19-Mar,1430,97.52
2131,Super built-up  Area,Ready To Move,1050,43.0
2132,Plot  Area,Ready To Move,2000,139.0
2133,Built-up  Area,Ready To Move,4800,190.0
2134,Built-up  Area,Ready To Move,1533,115.0
2135,Plot  Area,Ready To Move,2800,500.0
2136,Super built-up  Area,Ready To Move,2610,399.0
2137,Super built-up  Area,Ready To Move,1750,150.0
2138,Plot  Area,Ready To Move,1200,66.0
2139,Super built-up  Area,Ready To Move,1352,87.5
2140,Super built-up  Area,Ready To Move,1754,125.0
2141,Built-up  Area,Ready To Move,1560,85.0
2142,Super built-up  Area,18-Jul,3012,268.0
2143,Super built-up  Area,Ready To Move,3584,199.0
2144,Super built-up  Area,Ready To Move,1470,90.0
2145,Built-up  Area,Ready To Move,1035,45.0
2146,Plot  Area,Ready To Move,2400,329.0
2147,Built-up  Area,Ready To Move,1160,52.0
2148,Super built-up  Area,Ready To Move,1100,52.0
2149,Super built-up  Area,Ready To Move,1170,38.0
2150,Super built-up  Area,19-Dec,595,31.83
2151,Super built-up  Area,Ready To Move,1650,110.0
2152,Super built-up  Area,Ready To Move,1875,235.0
2153,Super built-up  Area,Ready To Move,800,80.0
2154,Super built-up  Area,Ready To Move,1375,48.06
2155,Super built-up  Area,18-Jun,1235,46.8
2156,Super built-up  Area,Ready To Move,750,25.0
2157,Built-up  Area,Ready To Move,1400,115.0
2158,Super built-up  Area,Ready To Move,1270,50.79
2159,Super built-up  Area,18-Dec,1105,51.0
2160,Super built-up  Area,Ready To Move,1375,85.0
2161,Plot  Area,Ready To Move,2168,95.0
2162,Built-up  Area,Ready To Move,1200,90.0
2163,Super built-up  Area,Ready To Move,1065,40.84
2164,Plot  Area,Ready To Move,3800,580.0
2165,Plot  Area,Ready To Move,3125,350.0
2166,Super built-up  Area,Ready To Move,825,45.0
2167,Built-up  Area,Ready To Move,1095,40.0
2168,Plot  Area,Ready To Move,720,65.0
2169,Super built-up  Area,18-Jul,1440,60.33
2170,Super built-up  Area,Ready To Move,870,39.5
2171,Super built-up  Area,Ready To Move,1195,84.0
2172,Super built-up  Area,Ready To Move,1200,49.5
2173,Super built-up  Area,Ready To Move,1530,61.2
2174,Super built-up  Area,17-Oct,1708,90.5
2175,Super built-up  Area,Ready To Move,975,43.0
2176,Built-up  Area,Ready To Move,750,25.0
2177,Plot  Area,Ready To Move,1200,190.0
2178,Super built-up  Area,18-Dec,1920,130.0
2179,Plot  Area,Ready To Move,1200,240.0
2180,Super built-up  Area,21-Dec,1183,58.56
2181,Plot  Area,Ready To Move,1140,90.0
2182,Super built-up  Area,Ready To Move,1550,65.0
2183,Super built-up  Area,Ready To Move,1110,53.0
2184,Plot  Area,Ready To Move,1500,165.0
2185,Super built-up  Area,Ready To Move,1105,38.67
2186,Plot  Area,Ready To Move,1800,68.0
2187,Super built-up  Area,Ready To Move,2800,200.0
2188,Super built-up  Area,18-Jul,1000,29.9
2189,Built-up  Area,Ready To Move,1190,68.0
2190,Plot  Area,Ready To Move,1350,200.0
2191,Super built-up  Area,19-Oct,3067,230.0
2192,Super built-up  Area,18-May,1929,103.0
2193,Built-up  Area,Ready To Move,1525,100.0
2194,Super built-up  Area,Ready To Move,1775,110.0
2195,Built-up  Area,Ready To Move,1125,63.0
2196,Super built-up  Area,Ready To Move,900,42.0
2197,Super built-up  Area,18-Mar,1155,58.0
2198,Built-up  Area,Ready To Move,1200,75.0
